package_name,level,text
com.nicedayapps.iss_free,detailed,"com.nicedayapps.iss_free was classified as good with average confidence 99% across 3 screens. Across these screens, the model recurringly attended to Text components. The screens agreed on the prediction, pointing to a coherent signal. The most recurring salient components were: Text (4x), Image (3x), Text Button (1x). The most influential review words across screens were 'absolutely', 'love', 'iss', 'stars', and 'space'. The app belongs to the Education category and was analyzed across 3 screens."
com.omead.bible.kjv,caption,com.omead.bible.kjv was labeled as good with average confidence 97% across 6 screens.
com.omead.bible.kjv,simple,"com.omead.bible.kjv was labeled as good with average confidence 97% across 6 screens. Across these screens, the model consistently focused on Text components."
com.omead.bible.kjv,detailed,"com.omead.bible.kjv was labeled as good with average confidence 97% across 6 screens. Across these screens, the model consistently focused on Text components. The screens agreed on the prediction, pointing to a coherent signal. The most recurring salient components were: Text (8x), Icon (5x), Text Button (2x). The most influential review words across screens were 'reading', 'easy', 'bible', 'features', and 'read'. The app belongs to the Books & Reference category and was analyzed across 6 screens."
fr.recettetek,caption,fr.recettetek was predicted as good with average confidence 97% across 8 screens.
fr.recettetek,simple,"fr.recettetek was predicted as good with average confidence 97% across 8 screens. Across these screens, the model frequently emphasized Icon components."
fr.recettetek,detailed,"fr.recettetek was predicted as good with average confidence 97% across 8 screens. Across these screens, the model frequently emphasized Icon components. Per-screen predictions were stable, indicating consistent evidence across the UI. The most recurring salient components were: Icon (8x), Text (7x), Text Button (5x). The most influential review words across screens were 'recipes', 'recipe', 'ingredients', 'sites', and 'easy'. The app belongs to the Food & Drink category and was analyzed across 8 screens."
com.hp.pregnancy.lite,caption,com.hp.pregnancy.lite was labeled as good with average confidence 98% across 8 screens.
com.hp.pregnancy.lite,simple,"com.hp.pregnancy.lite was labeled as good with average confidence 98% across 8 screens. Across these screens, the model consistently focused on Text components."
com.hp.pregnancy.lite,detailed,"com.hp.pregnancy.lite was labeled as good with average confidence 98% across 8 screens. Across these screens, the model consistently focused on Text components. The screens agreed on the prediction, pointing to a coherent signal. The most recurring salient components were: Text (14x), Text Button (4x), Input (2x). The most influential review words across screens were 'pregnancy', 'week', 'friendly', 'articles', and 'baby's'. The app belongs to the Medical category and was analyzed across 8 screens."
curso.d.ingles.gratis,caption,curso.d.ingles.gratis was classified as good with average confidence 98% across 3 screens.
curso.d.ingles.gratis,simple,"curso.d.ingles.gratis was classified as good with average confidence 98% across 3 screens. Across these screens, the model recurringly attended to Text Button components."
curso.d.ingles.gratis,detailed,"curso.d.ingles.gratis was classified as good with average confidence 98% across 3 screens. Across these screens, the model recurringly attended to Text Button components. The screens agreed on the prediction, pointing to a coherent signal. The most recurring salient components were: Text Button (3x), Web View (1x). The most influential review words across screens were 'english', 'learn', 'great', 'not good', and 'everyone'. The app belongs to the Education category and was analyzed across 3 screens."
com.easymobs.pregnancy,caption,com.easymobs.pregnancy was classified as good with average confidence 98% across 8 screens.
com.easymobs.pregnancy,simple,"com.easymobs.pregnancy was classified as good with average confidence 98% across 8 screens. Across these screens, the model recurringly attended to Text components."
com.easymobs.pregnancy,detailed,"com.easymobs.pregnancy was classified as good with average confidence 98% across 8 screens. Across these screens, the model recurringly attended to Text components. The screens agreed on the prediction, pointing to a coherent signal. The most recurring salient components were: Text (15x), Text Button (5x), Image (3x). The most influential review words across screens were 'interface', 'week', 'ads', 'baby', and 'pregnancy'. The app belongs to the Medical category and was analyzed across 8 screens."
com.megalol.muttertag,caption,com.megalol.muttertag was classified as good with average confidence 99% across 8 screens.
com.megalol.muttertag,simple,"com.megalol.muttertag was classified as good with average confidence 99% across 8 screens. Across these screens, the model recurringly attended to Text Button components."
com.megalol.muttertag,detailed,"com.megalol.muttertag was classified as good with average confidence 99% across 8 screens. Across these screens, the model recurringly attended to Text Button components. Per-screen predictions were stable, indicating consistent evidence across the UI. The most recurring salient components were: Text Button (11x), Icon (6x), Image (5x). The most influential review words across screens were 'special', 'handy', 'want', 'express', and 'send'. The app belongs to the Books & Reference category and was analyzed across 8 screens."
com.taptapstudio.dailyprayerlite,caption,com.taptapstudio.dailyprayerlite was labeled as good with average confidence 74% across 4 screens.
com.taptapstudio.dailyprayerlite,simple,"com.taptapstudio.dailyprayerlite was labeled as good with average confidence 74% across 4 screens. Across these screens, the model consistently focused on Text components."
com.taptapstudio.dailyprayerlite,detailed,"com.taptapstudio.dailyprayerlite was labeled as good with average confidence 74% across 4 screens. Across these screens, the model consistently focused on Text components. The screens disagreed considerably (variance 0.16), indicating heterogeneous evidence across the UI. The most recurring salient components were: Text (5x), Text Button (3x), Input (3x). The most influential review words across screens were 'prayer', 'love', 'ever', 'everyday', and 'guidelines'. The app belongs to the Books & Reference category and was analyzed across 4 screens."
com.sunny.yoga,caption,com.sunny.yoga was classified as good with average confidence 93% across 4 screens.
com.sunny.yoga,simple,"com.sunny.yoga was classified as good with average confidence 93% across 4 screens. Across these screens, the model recurringly attended to Text Button components."
com.sunny.yoga,detailed,"com.sunny.yoga was classified as good with average confidence 93% across 4 screens. Across these screens, the model recurringly attended to Text Button components. Per-screen predictions were stable, indicating consistent evidence across the UI. The most recurring salient components were: Text Button (7x), Text (2x), Image (2x). The most influential review words across screens were 'great', 'yoga', 'convenient', 'poses', and 'place'. The app belongs to the Health & Fitness category and was analyzed across 4 screens."
spurgeon.morning_and_evening.devotional.AOUWQEJPCEQPQPTU,caption,spurgeon.morning_and_evening.devotional.AOUWQEJPCEQPQPTU was classified as good with average confidence 97% across 5 screens.
spurgeon.morning_and_evening.devotional.AOUWQEJPCEQPQPTU,simple,"spurgeon.morning_and_evening.devotional.AOUWQEJPCEQPQPTU was classified as good with average confidence 97% across 5 screens. Across these screens, the model recurringly attended to Text components."
spurgeon.morning_and_evening.devotional.AOUWQEJPCEQPQPTU,detailed,"spurgeon.morning_and_evening.devotional.AOUWQEJPCEQPQPTU was classified as good with average confidence 97% across 5 screens. Across these screens, the model recurringly attended to Text components. Per-screen predictions were stable, indicating consistent evidence across the UI. The most recurring salient components were: Text (8x), Icon (4x), Text Button (2x). The most influential review words across screens were 'devotional', 'bible', 'etc)....i', 'font', and 'luggage'. The app belongs to the Books & Reference category and was analyzed across 5 screens."
com.mindtwisted.kanjistudy,caption,com.mindtwisted.kanjistudy was classified as good with average confidence 97% across 8 screens.
com.mindtwisted.kanjistudy,simple,"com.mindtwisted.kanjistudy was classified as good with average confidence 97% across 8 screens. Across these screens, the model recurringly attended to Text components."
com.mindtwisted.kanjistudy,detailed,"com.mindtwisted.kanjistudy was classified as good with average confidence 97% across 8 screens. Across these screens, the model recurringly attended to Text components. Per-screen predictions were stable, indicating consistent evidence across the UI. The most recurring salient components were: Text (18x), Icon (6x). The most influential review words across screens were 'kanji', 'can't wait', 'characters', 'japanese', and 'learning'. The app belongs to the Education category and was analyzed across 8 screens."
com.chineseskill,caption,com.chineseskill was predicted as good with average confidence 99% across 8 screens.
com.chineseskill,simple,"com.chineseskill was predicted as good with average confidence 99% across 8 screens. Across these screens, the model frequently emphasized Text components."
com.chineseskill,detailed,"com.chineseskill was predicted as good with average confidence 99% across 8 screens. Across these screens, the model frequently emphasized Text components. Per-screen predictions were stable, indicating consistent evidence across the UI. The most recurring salient components were: Text (11x), Image (10x), Icon (3x). The most influential review words across screens were 'chinese', 'far', 'easy', 'littles', and 'vocab'. The app belongs to the Education category and was analyzed across 8 screens."
com.andromo.dev462136.app489914,caption,com.andromo.dev462136.app489914 was predicted as good with average confidence 98% across 8 screens.
com.andromo.dev462136.app489914,simple,"com.andromo.dev462136.app489914 was predicted as good with average confidence 98% across 8 screens. Across these screens, the model frequently emphasized Web View components."
com.andromo.dev462136.app489914,detailed,"com.andromo.dev462136.app489914 was predicted as good with average confidence 98% across 8 screens. Across these screens, the model frequently emphasized Web View components. The screens agreed on the prediction, pointing to a coherent signal. The most recurring salient components were: Web View (11x), Icon (6x), Text Button (3x). The most influential review words across screens were 'information', 'informative', 'can't wait', 'spikes', and '100's'. The app belongs to the Medical category and was analyzed across 8 screens."
com.popularapp.thirtydayfitnesschallenge,caption,com.popularapp.thirtydayfitnesschallenge was labeled as good with average confidence 99% across 8 screens.
com.popularapp.thirtydayfitnesschallenge,simple,"com.popularapp.thirtydayfitnesschallenge was labeled as good with average confidence 99% across 8 screens. Across these screens, the model consistently focused on Text components."
com.popularapp.thirtydayfitnesschallenge,detailed,"com.popularapp.thirtydayfitnesschallenge was labeled as good with average confidence 99% across 8 screens. Across these screens, the model consistently focused on Text components. Per-screen predictions were stable, indicating consistent evidence across the UI. The most recurring salient components were: Text (14x), Image (6x), Icon (2x). The most influential review words across screens were 'great', 'workouts', 'perfect', 'weights', and 'changes'. The app belongs to the Health & Fitness category and was analyzed across 8 screens."
com.floken.android.remote,caption,com.floken.android.remote was classified as bad with average confidence 98% across 4 screens.
com.floken.android.remote,simple,"com.floken.android.remote was classified as bad with average confidence 98% across 4 screens. Across these screens, the model recurringly attended to Text components."
com.floken.android.remote,detailed,"com.floken.android.remote was classified as bad with average confidence 98% across 4 screens. Across these screens, the model recurringly attended to Text components. Per-screen predictions were stable, indicating consistent evidence across the UI. The most recurring salient components were: Text (5x), Text Button (3x), Image (3x). The most influential review words across screens were 'not television', 'not download', 'great', 'hour', and 'seen'. The app belongs to the Entertainment category and was analyzed across 4 screens."
com.kauf.imagefaker.hairstylesfunandfashion,caption,com.kauf.imagefaker.hairstylesfunandfashion was predicted as bad with average confidence 99% across 4 screens.
com.kauf.imagefaker.hairstylesfunandfashion,simple,"com.kauf.imagefaker.hairstylesfunandfashion was predicted as bad with average confidence 99% across 4 screens. Across these screens, the model frequently emphasized Image components."
com.kauf.imagefaker.hairstylesfunandfashion,detailed,"com.kauf.imagefaker.hairstylesfunandfashion was predicted as bad with average confidence 99% across 4 screens. Across these screens, the model frequently emphasized Image components. Per-screen predictions were stable, indicating consistent evidence across the UI. The most recurring salient components were: Image (4x), Icon (2x), Text (2x). The most influential review words across screens were 'not good', 'doesn't work', 'soooôooooo', 'not match', and 'ads'. The app belongs to the Lifestyle category and was analyzed across 4 screens."
com.kauf.sticker.zombiephotoboothfree,caption,com.kauf.sticker.zombiephotoboothfree was classified as bad with average confidence 99% across 8 screens.
com.kauf.sticker.zombiephotoboothfree,simple,"com.kauf.sticker.zombiephotoboothfree was classified as bad with average confidence 99% across 8 screens. Across these screens, the model recurringly attended to Image components."
com.kauf.sticker.zombiephotoboothfree,detailed,"com.kauf.sticker.zombiephotoboothfree was classified as bad with average confidence 99% across 8 screens. Across these screens, the model recurringly attended to Image components. Per-screen predictions were stable, indicating consistent evidence across the UI. The most recurring salient components were: Image (6x), Icon (6x), Text Button (4x). The most influential review words across screens were 'doesn't work', 'delete!!it's', 'whats', 'ing', and 'prank.this'. The app belongs to the Entertainment category and was analyzed across 8 screens."
com.outfit7.talkingangelafree,caption,com.outfit7.talkingangelafree was classified as bad with average confidence 100% across 8 screens.
com.outfit7.talkingangelafree,simple,"com.outfit7.talkingangelafree was classified as bad with average confidence 100% across 8 screens. Across these screens, the model recurringly attended to Text components."
com.outfit7.talkingangelafree,detailed,"com.outfit7.talkingangelafree was classified as bad with average confidence 100% across 8 screens. Across these screens, the model recurringly attended to Text components. Per-screen predictions were stable, indicating consistent evidence across the UI. The most recurring salient components were: Text (8x), Image (6x), Text Button (4x). The most influential review words across screens were 'don't download', 'didn't help', 'don't wasting', 'fraustrating', and 'problem'. The app belongs to the Entertainment category and was analyzed across 8 screens."
sagaapps.games.game.mobilenumbertracker,caption,sagaapps.games.game.mobilenumbertracker was labeled as bad with average confidence 98% across 7 screens.
sagaapps.games.game.mobilenumbertracker,simple,"sagaapps.games.game.mobilenumbertracker was labeled as bad with average confidence 98% across 7 screens. Across these screens, the model consistently focused on Icon components."
sagaapps.games.game.mobilenumbertracker,detailed,"sagaapps.games.game.mobilenumbertracker was labeled as bad with average confidence 98% across 7 screens. Across these screens, the model consistently focused on Icon components. The screens agreed on the prediction, pointing to a coherent signal. The most recurring salient components were: Icon (6x), Text (5x), Image (4x). The most influential review words across screens were 'don't understand', 'don't bangladesh', 'no', 'not bother', and 'beware'. The app belongs to the Communication category and was analyzed across 7 screens."
com.pocoyo.house,caption,com.pocoyo.house was classified as bad with average confidence 100% across 5 screens.
com.pocoyo.house,simple,"com.pocoyo.house was classified as bad with average confidence 100% across 5 screens. Across these screens, the model recurringly attended to Image components."
com.pocoyo.house,detailed,"com.pocoyo.house was classified as bad with average confidence 100% across 5 screens. Across these screens, the model recurringly attended to Image components. Per-screen predictions were stable, indicating consistent evidence across the UI. The most recurring salient components were: Image (6x), Icon (2x), Text (2x). The most influential review words across screens were 'dont recommend', 'pocoyo', 'subscription', 'content', and 'experience'. The app belongs to the Entertainment category and was analyzed across 5 screens."
com.s2dio.automath,caption,com.s2dio.automath was predicted as bad with average confidence 99% across 8 screens.
com.s2dio.automath,simple,"com.s2dio.automath was predicted as bad with average confidence 99% across 8 screens. Across these screens, the model frequently emphasized Text components."
com.s2dio.automath,detailed,"com.s2dio.automath was predicted as bad with average confidence 99% across 8 screens. Across these screens, the model frequently emphasized Text components. The screens agreed on the prediction, pointing to a coherent signal. The most recurring salient components were: Text (10x), Image (6x), Web View (3x). The most influential review words across screens were 'don't know', '🙏🏼🙏🏼🙏🏼🙏🏼', 'not recommend', 'kinds', and 'not answer'. The app belongs to the Education category and was analyzed across 8 screens."
com.kauf.particle.virtualmatch,caption,com.kauf.particle.virtualmatch was labeled as bad with average confidence 100% across 3 screens.
com.kauf.particle.virtualmatch,simple,"com.kauf.particle.virtualmatch was labeled as bad with average confidence 100% across 3 screens. Across these screens, the model consistently focused on Image components."
com.kauf.particle.virtualmatch,detailed,"com.kauf.particle.virtualmatch was labeled as bad with average confidence 100% across 3 screens. Across these screens, the model consistently focused on Image components. Per-screen predictions were stable, indicating consistent evidence across the UI. The most recurring salient components were: Image (2x), Text (2x), Web View (1x). The most influential review words across screens were 'ads', 'game', 'work.....plus', 'impressed', and 'adverts.....the'. The app belongs to the Lifestyle category and was analyzed across 3 screens."
com.graphilos.wanted,caption,com.graphilos.wanted was predicted as bad with average confidence 97% across 6 screens.
com.graphilos.wanted,simple,"com.graphilos.wanted was predicted as bad with average confidence 97% across 6 screens. Across these screens, the model frequently emphasized Icon components."
com.graphilos.wanted,detailed,"com.graphilos.wanted was predicted as bad with average confidence 97% across 6 screens. Across these screens, the model frequently emphasized Icon components. Per-screen predictions were stable, indicating consistent evidence across the UI. The most recurring salient components were: Icon (7x), Text (5x), Background Image (2x). The most influential review words across screens were 'picture', 'don't time', 'take', 'another', and 'can't tell'. The app belongs to the Entertainment category and was analyzed across 6 screens."
com.droidcanvas.televicentro,caption,com.droidcanvas.televicentro was classified as bad with average confidence 98% across 6 screens.
com.droidcanvas.televicentro,simple,"com.droidcanvas.televicentro was classified as bad with average confidence 98% across 6 screens. Across these screens, the model recurringly attended to Image components."
com.droidcanvas.televicentro,detailed,"com.droidcanvas.televicentro was classified as bad with average confidence 98% across 6 screens. Across these screens, the model recurringly attended to Image components. Per-screen predictions were stable, indicating consistent evidence across the UI. The most recurring salient components were: Image (6x), Icon (5x), Text (4x). The most influential review words across screens were 'yo', 'la', 'no sirve', 'de', and 'gratis'. The app belongs to the Communication category and was analyzed across 6 screens."
com.appspot.swisscodemonkeys.old,caption,com.appspot.swisscodemonkeys.old was predicted as bad with average confidence 98% across 3 screens.
com.appspot.swisscodemonkeys.old,simple,"com.appspot.swisscodemonkeys.old was predicted as bad with average confidence 98% across 3 screens. Across these screens, the model frequently emphasized Image components."
com.appspot.swisscodemonkeys.old,detailed,"com.appspot.swisscodemonkeys.old was predicted as bad with average confidence 98% across 3 screens. Across these screens, the model frequently emphasized Image components. The screens agreed on the prediction, pointing to a coherent signal. The most recurring salient components were: Image (2x), Text Button (1x), Icon (1x). The most influential review words across screens were 'wrinkles', 'tried', 'people', 'added', and 'images'. The app belongs to the Entertainment category and was analyzed across 3 screens."
com.video.converterandroid,caption,com.video.converterandroid was classified as bad with average confidence 98% across 7 screens.
com.video.converterandroid,simple,"com.video.converterandroid was classified as bad with average confidence 98% across 7 screens. Across these screens, the model recurringly attended to Image components."
com.video.converterandroid,detailed,"com.video.converterandroid was classified as bad with average confidence 98% across 7 screens. Across these screens, the model recurringly attended to Image components. Per-screen predictions were stable, indicating consistent evidence across the UI. The most recurring salient components were: Image (7x), Text (7x), Icon (3x). The most influential review words across screens were 'good', 'ads', 'dont install', 'video', and 'can't played'. The app belongs to the Video Players & Editors category and was analyzed across 7 screens."
com.kauf.imagefaker.photofunfunnypicscreator,caption,com.kauf.imagefaker.photofunfunnypicscreator was classified as bad with average confidence 99% across 8 screens.
com.kauf.imagefaker.photofunfunnypicscreator,simple,"com.kauf.imagefaker.photofunfunnypicscreator was classified as bad with average confidence 99% across 8 screens. Across these screens, the model recurringly attended to Icon components."
com.kauf.imagefaker.photofunfunnypicscreator,detailed,"com.kauf.imagefaker.photofunfunnypicscreator was classified as bad with average confidence 99% across 8 screens. Across these screens, the model recurringly attended to Icon components. The screens agreed on the prediction, pointing to a coherent signal. The most recurring salient components were: Icon (10x), Background Image (4x), Web View (2x). The most influential review words across screens were 'ads', 'didn't letting', 'adds', 'point', and 'can't talking'. The app belongs to the Comics category and was analyzed across 8 screens."
com.kauf.sticker.funfacechangerphotostudio,caption,com.kauf.sticker.funfacechangerphotostudio was labeled as bad with average confidence 99% across 8 screens.
com.kauf.sticker.funfacechangerphotostudio,simple,"com.kauf.sticker.funfacechangerphotostudio was labeled as bad with average confidence 99% across 8 screens. Across these screens, the model consistently focused on Image components."
com.kauf.sticker.funfacechangerphotostudio,detailed,"com.kauf.sticker.funfacechangerphotostudio was labeled as bad with average confidence 99% across 8 screens. Across these screens, the model consistently focused on Image components. The screens agreed on the prediction, pointing to a coherent signal. The most recurring salient components were: Image (8x), Text Button (6x), Icon (5x). The most influential review words across screens were 'rubbish', 'stupid', 'don't download', 'can't play', and 'doesn't say'. The app belongs to the Entertainment category and was analyzed across 8 screens."
com.fli.android.newsmaxapp,caption,com.fli.android.newsmaxapp was labeled as bad with average confidence 99% across 3 screens.
com.fli.android.newsmaxapp,simple,"com.fli.android.newsmaxapp was labeled as bad with average confidence 99% across 3 screens. Across these screens, the model consistently focused on Image components."
com.fli.android.newsmaxapp,detailed,"com.fli.android.newsmaxapp was labeled as bad with average confidence 99% across 3 screens. Across these screens, the model consistently focused on Image components. Per-screen predictions were stable, indicating consistent evidence across the UI. The most recurring salient components were: Image (5x), Text Button (3x), Text (1x). The most influential review words across screens were 'part', 'early', 'firestick', 'back', and 'don't issue'. The app belongs to the News & Magazines category and was analyzed across 3 screens."
br.com.band.guiatv,caption,br.com.band.guiatv was predicted as bad with average confidence 98% across 8 screens.
br.com.band.guiatv,simple,"br.com.band.guiatv was predicted as bad with average confidence 98% across 8 screens. Across these screens, the model frequently emphasized Image components."
br.com.band.guiatv,detailed,"br.com.band.guiatv was predicted as bad with average confidence 98% across 8 screens. Across these screens, the model frequently emphasized Image components. Per-screen predictions were stable, indicating consistent evidence across the UI. The most recurring salient components were: Image (12x), Text (6x), Icon (2x). The most influential review words across screens were 'de', 'que', 'não', 'problema', and 'f1'. The app belongs to the Entertainment category and was analyzed across 8 screens."
com.digit64.vehicle.rto,caption,com.digit64.vehicle.rto was predicted as bad with average confidence 73% across 4 screens.
com.digit64.vehicle.rto,simple,"com.digit64.vehicle.rto was predicted as bad with average confidence 73% across 4 screens. Across these screens, the model frequently emphasized Text components."
com.digit64.vehicle.rto,detailed,"com.digit64.vehicle.rto was predicted as bad with average confidence 73% across 4 screens. Across these screens, the model frequently emphasized Text components. Per-screen predictions varied substantially (variance 0.15), suggesting the app shows mixed visual or textual signals. The most recurring salient components were: Text (5x), Text Button (2x), Input (1x). The most influential review words across screens were 'connectivity', 'ads..!!.this', 'connection', 'fcuk', and 'blowfish'. The app belongs to the Auto & Vehicles category and was analyzed across 4 screens."
com.aco.cryingbebe,caption,com.aco.cryingbebe was predicted as bad with average confidence 66% across 5 screens.
com.aco.cryingbebe,simple,"com.aco.cryingbebe was predicted as bad with average confidence 66% across 5 screens. Across these screens, the model frequently emphasized Text Button components."
com.aco.cryingbebe,detailed,"com.aco.cryingbebe was predicted as bad with average confidence 66% across 5 screens. Across these screens, the model frequently emphasized Text Button components. Per-screen predictions varied substantially (variance 0.10), suggesting the app shows mixed visual or textual signals. The most recurring salient components were: Text Button (5x), Text (2x), Input (2x). The most influential review words across screens were 'can't korean', 'poorly', 'region', 'without membership', and 'not worth'. The app belongs to the Parenting category and was analyzed across 5 screens."
com.kauf.imagefaker.hairstylesstarlooksalon,caption,com.kauf.imagefaker.hairstylesstarlooksalon was labeled as bad with average confidence 94% across 5 screens.
com.kauf.imagefaker.hairstylesstarlooksalon,simple,"com.kauf.imagefaker.hairstylesstarlooksalon was labeled as bad with average confidence 94% across 5 screens. Across these screens, the model consistently focused on Icon components."
com.kauf.imagefaker.hairstylesstarlooksalon,detailed,"com.kauf.imagefaker.hairstylesstarlooksalon was labeled as bad with average confidence 94% across 5 screens. Across these screens, the model consistently focused on Icon components. Per-screen predictions were stable, indicating consistent evidence across the UI. The most recurring salient components were: Icon (5x), Web View (3x), Text Button (2x). The most influential review words across screens were 'else's', 'doesn't deserve', 'hairstyles', 'review', and 'horrible'. The app belongs to the Lifestyle category and was analyzed across 5 screens."
com.dbd.ghosttalk,caption,com.dbd.ghosttalk was classified as bad with average confidence 100% across 5 screens.
com.dbd.ghosttalk,simple,"com.dbd.ghosttalk was classified as bad with average confidence 100% across 5 screens. Across these screens, the model recurringly attended to Image components."
com.dbd.ghosttalk,detailed,"com.dbd.ghosttalk was classified as bad with average confidence 100% across 5 screens. Across these screens, the model recurringly attended to Image components. The screens agreed on the prediction, pointing to a coherent signal. The most recurring salient components were: Image (9x), Text (6x). The most influential review words across screens were 'voice..that's', 'don't waste', 'talking', 'say', and 'ghost'. The app belongs to the Music & Audio category and was analyzed across 5 screens."
